Num	AeroNum	Radius	DR	AeroTwst	Chord
1	1	2.8667	2.733	13.308	3.542
2	1	5.6	2.733	13.308	3.854
3	2	8.3333	2.733	13.308	4.167
4	3	11.75	4.1	13.308	4.557
5	4	15.85	4.1	11.48	4.652
6	4	19.95	4.1	10.162	4.458
7	5	24.05	4.1	9.011	4.249
8	6	28.15	4.1	7.795	4.007
9	6	32.25	4.1	6.544	3.748
10	7	36.35	4.1	5.361	3.502
11	7	40.45	4.1	4.188	3.256
12	8	44.55	4.1	3.125	3.01
13	8	48.65	4.1	2.319	2.764
14	8	52.75	4.1	1.526	2.518
15	8	56.1667	2.733	0.863	2.313
16	8	58.9	2.733	0.37	2.086
17	8	61.6333	2.733	0.106	1.419
