"Radius
(m)","BlFract
(-)","AeroCent
(-)","StrcTwst
(º)","BMassDen
(kg/m)","FlpStff
(N•m2)","EdgStff
(N•m2)","GJStff
(N•m2)","EAStff
(N)","Alpha
(-)","FlpIner
(kg•m)","EdgIner
(kg•m)","PrecrvRef
(m)","PreswpRef
(m)","FlpcgOf
(m)","EdgcgOf
(m)","FlpEAOf
(m)","EdgEAOf
(m)"
1.50,0.00000,0.25000,13.308,678.935,1.81E+10,1.81E+10,5.56E+9,9.73E+9,0.0,972.86,973.04,0.0,0.0,0.0,0.00017,0.0,0.0
1.70,0.00325,0.25000,13.308,678.935,1.81E+10,1.81E+10,5.56E+9,9.73E+9,0.0,972.86,973.04,0.0,0.0,0.0,0.00017,0.0,0.0
2.70,0.01951,0.24951,13.308,773.363,1.94E+10,1.96E+10,5.43E+9,1.08E+10,0.0,1091.52,1066.38,0.0,0.0,0.0,-0.02309,0.0,0.0
3.70,0.03577,0.24510,13.308,740.550,1.75E+10,1.95E+10,4.99E+9,1.01E+10,0.0,966.09,1047.36,0.0,0.0,0.0,0.00344,0.0,0.0
4.70,0.05203,0.23284,13.308,740.042,1.53E+10,1.98E+10,4.67E+9,9.87E+9,0.0,873.81,1099.75,0.0,0.0,0.0,0.04345,0.0,0.0
5.70,0.06829,0.22059,13.308,592.496,1.08E+10,1.49E+10,3.47E+9,7.61E+9,0.0,648.55,873.02,0.0,0.0,0.0,0.05893,0.0,0.0
6.70,0.08455,0.20833,13.308,450.275,7.23E+9,1.02E+10,2.32E+9,5.49E+9,0.0,456.76,641.49,0.0,0.0,0.0,0.06494,0.0,0.0
7.70,0.10081,0.19608,13.308,424.054,6.31E+9,9.14E+9,1.91E+9,4.97E+9,0.0,400.53,593.73,0.0,0.0,0.0,0.07718,0.0,0.0
8.70,0.11707,0.18382,13.308,400.638,5.53E+9,8.06E+9,1.57E+9,4.49E+9,0.0,351.61,547.18,0.0,0.0,0.0,0.08394,0.0,0.0
9.70,0.13335,0.17156,13.308,382.062,4.98E+9,6.88E+9,1.16E+9,4.03E+9,0.0,316.12,490.84,0.0,0.0,0.0,0.10174,0.0,0.0
10.70,0.14959,0.15931,13.308,399.655,4.94E+9,7.01E+9,1.00E+9,4.04E+9,0.0,303.60,503.86,0.0,0.0,0.0,0.10758,0.0,0.0
11.70,0.16585,0.14706,13.308,426.321,4.69E+9,7.17E+9,8.56E+8,4.17E+9,0.0,289.24,544.70,0.0,0.0,0.0,0.15829,0.0,0.0
12.70,0.18211,0.13481,13.181,416.820,3.95E+9,7.27E+9,6.72E+8,4.08E+9,0.0,246.57,569.90,0.0,0.0,0.0,0.22235,0.0,0.0
13.70,0.19837,0.12500,12.848,406.186,3.39E+9,7.08E+9,5.47E+8,4.09E+9,0.0,215.91,601.28,0.0,0.0,0.0,0.30756,0.0,0.0
14.70,0.21465,0.12500,12.192,381.420,2.93E+9,6.24E+9,4.49E+8,3.67E+9,0.0,187.11,546.56,0.0,0.0,0.0,0.30386,0.0,0.0
15.70,0.23089,0.12500,11.561,352.822,2.57E+9,5.05E+9,3.36E+8,3.15E+9,0.0,160.84,468.71,0.0,0.0,0.0,0.26519,0.0,0.0
16.70,0.24715,0.12500,11.072,349.477,2.39E+9,4.95E+9,3.11E+8,3.01E+9,0.0,148.56,453.76,0.0,0.0,0.0,0.25941,0.0,0.0
17.70,0.26341,0.12500,10.792,346.538,2.27E+9,4.81E+9,2.92E+8,2.88E+9,0.0,140.30,436.22,0.0,0.0,0.0,0.25007,0.0,0.0
19.70,0.29595,0.12500,10.232,339.333,2.05E+9,4.50E+9,2.61E+8,2.61E+9,0.0,124.61,398.18,0.0,0.0,0.0,0.23155,0.0,0.0
21.70,0.32846,0.12500,9.672,330.004,1.83E+9,4.24E+9,2.29E+8,2.36E+9,0.0,109.42,362.08,0.0,0.0,0.0,0.20382,0.0,0.0
23.70,0.36098,0.12500,9.110,321.990,1.59E+9,4.00E+9,2.01E+8,2.15E+9,0.0,94.36,335.01,0.0,0.0,0.0,0.19934,0.0,0.0
25.70,0.39350,0.12500,8.534,313.820,1.36E+9,3.75E+9,1.74E+8,1.94E+9,0.0,80.24,308.57,0.0,0.0,0.0,0.19323,0.0,0.0
27.70,0.42602,0.12500,7.932,294.734,1.10E+9,3.45E+9,1.44E+8,1.63E+9,0.0,62.67,263.87,0.0,0.0,0.0,0.14994,0.0,0.0
29.70,0.45855,0.12500,7.321,287.120,8.76E+8,3.14E+9,1.20E+8,1.43E+9,0.0,49.42,237.06,0.0,0.0,0.0,0.15421,0.0,0.0
31.70,0.49106,0.12500,6.711,263.343,6.81E+8,2.73E+9,8.12E+7,1.17E+9,0.0,37.34,196.41,0.0,0.0,0.0,0.13252,0.0,0.0
33.70,0.52358,0.12500,6.122,253.207,5.35E+8,2.55E+9,6.91E+7,1.05E+9,0.0,29.14,180.34,0.0,0.0,0.0,0.13313,0.0,0.0
35.70,0.55610,0.12500,5.546,241.666,4.09E+8,2.33E+9,5.75E+7,9.23E+8,0.0,22.16,162.43,0.0,0.0,0.0,0.14035,0.0,0.0
37.70,0.58862,0.12500,4.971,220.638,3.15E+8,1.83E+9,4.59E+7,7.61E+8,0.0,17.33,134.83,0.0,0.0,0.0,0.13950,0.0,0.0
39.70,0.62115,0.12500,4.401,200.293,2.39E+8,1.58E+9,3.60E+7,6.48E+8,0.0,13.30,116.30,0.0,0.0,0.0,0.15134,0.0,0.0
41.70,0.65366,0.12500,3.834,179.404,1.76E+8,1.32E+9,2.74E+7,5.40E+8,0.0,9.96,97.98,0.0,0.0,0.0,0.17418,0.0,0.0
43.70,0.68618,0.12500,3.332,165.094,1.26E+8,1.18E+9,2.09E+7,5.31E+8,0.0,7.30,98.93,0.0,0.0,0.0,0.24922,0.0,0.0
45.70,0.71870,0.12500,2.890,154.411,1.07E+8,1.02E+9,1.85E+7,4.60E+8,0.0,6.22,85.78,0.0,0.0,0.0,0.26022,0.0,0.0
47.70,0.75122,0.12500,2.503,138.935,9.09E+7,7.98E+8,1.63E+7,3.76E+8,0.0,5.19,69.96,0.0,0.0,0.0,0.22554,0.0,0.0
49.70,0.78376,0.12500,2.116,129.555,7.63E+7,7.10E+8,1.45E+7,3.29E+8,0.0,4.36,61.41,0.0,0.0,0.0,0.22795,0.0,0.0
51.70,0.81626,0.12500,1.730,107.264,6.11E+7,5.18E+8,9.07E+6,2.44E+8,0.0,3.36,45.44,0.0,0.0,0.0,0.20600,0.0,0.0
53.70,0.84878,0.12500,1.342,98.776,4.95E+7,4.55E+8,8.06E+6,2.12E+8,0.0,2.75,39.57,0.0,0.0,0.0,0.21662,0.0,0.0
55.70,0.88130,0.12500,0.954,90.248,3.94E+7,3.95E+8,7.08E+6,1.82E+8,0.0,2.21,34.09,0.0,0.0,0.0,0.22784,0.0,0.0
56.70,0.89756,0.12500,0.760,83.001,3.47E+7,3.54E+8,6.09E+6,1.60E+8,0.0,1.93,30.12,0.0,0.0,0.0,0.23124,0.0,0.0
57.70,0.91382,0.12500,0.574,72.906,3.04E+7,3.05E+8,5.75E+6,1.09E+8,0.0,1.69,20.15,0.0,0.0,0.0,0.14826,0.0,0.0
58.70,0.93008,0.12500,0.404,68.772,2.65E+7,2.81E+8,5.33E+6,1.00E+8,0.0,1.49,18.53,0.0,0.0,0.0,0.15346,0.0,0.0
59.20,0.93821,0.12500,0.319,66.264,2.38E+7,2.62E+8,4.94E+6,9.22E+7,0.0,1.34,17.11,0.0,0.0,0.0,0.15382,0.0,0.0
59.70,0.94636,0.12500,0.253,59.340,1.96E+7,1.59E+8,4.24E+6,6.32E+7,0.0,1.10,11.55,0.0,0.0,0.0,0.09470,0.0,0.0
60.20,0.95447,0.12500,0.216,55.914,1.60E+7,1.38E+8,3.66E+6,5.33E+7,0.0,0.89,9.77,0.0,0.0,0.0,0.09018,0.0,0.0
60.70,0.96260,0.12500,0.178,52.484,1.28E+7,1.19E+8,3.13E+6,4.45E+7,0.0,0.71,8.19,0.0,0.0,0.0,0.08561,0.0,0.0
61.20,0.97073,0.12500,0.140,49.114,1.01E+7,1.02E+8,2.64E+6,3.69E+7,0.0,0.56,6.82,0.0,0.0,0.0,0.08035,0.0,0.0
61.70,0.97886,0.12500,0.101,45.818,7.55E+6,8.51E+7,2.17E+6,2.99E+7,0.0,0.42,5.57,0.0,0.0,0.0,0.07096,0.0,0.0
62.20,0.98699,0.12500,0.062,41.669,4.60E+6,6.43E+7,1.58E+6,2.13E+7,0.0,0.25,4.01,0.0,0.0,0.0,0.05424,0.0,0.0
62.70,0.99512,0.12500,0.023,11.453,2.50E+5,6.61E+6,2.50E+5,4.85E+6,0.0,0.04,0.94,0.0,0.0,0.0,0.05387,0.0,0.0
63.00,1.00000,0.12500,0.000,10.319,1.70E+5,5.01E+6,1.90E+5,3.53E+6,0.0,0.02,0.68,0.0,0.0,0.0,0.05181,0.0,0.0
